,vol_req,seed,dU11,dU12,dU21,dU22,test
165,0.4,40,0.0,0.0,0.0,-0.15718042999334259,uniaxial
166,0.4,40,0.0,0.0,0.0,-0.14499445454510607,uniaxial
167,0.4,40,0.0,0.0,0.0,-0.13297973614739866,uniaxial
168,0.4,40,0.0,0.0,0.0,-0.12112925119591778,uniaxial
169,0.4,40,0.0,0.0,0.0,-0.10943644343827874,uniaxial
170,0.4,40,0.0,0.0,0.0,-0.09789518156243293,uniaxial
171,0.4,40,0.0,0.0,0.0,-0.08649972160886032,uniaxial
172,0.4,40,0.0,0.0,0.0,-0.07524467355245612,uniaxial
173,0.4,40,0.0,0.0,0.0,-0.06412497150232865,uniaxial
174,0.4,40,0.0,0.0,0.0,-0.05313584705200136,uniaxial
175,0.4,40,0.0,0.0,0.0,-0.042272805382271295,uniaxial
176,0.4,40,0.0,0.0,0.0,-0.031531603776995376,uniaxial
177,0.4,40,0.0,0.0,0.0,-0.02090823226054417,uniaxial
178,0.4,40,0.0,0.0,0.0,-0.010398896106321942,uniaxial
179,0.4,40,0.0,0.0,0.0,0.0,uniaxial
180,0.4,40,0.0,0.0,0.0,0.0,uniaxial
181,0.4,40,0.0,0.0,0.0,0.07605517369794068,uniaxial
182,0.4,40,0.0,0.0,0.0,0.14707866935280878,uniaxial
183,0.4,40,0.0,0.0,0.0,0.21395395733376787,uniaxial
184,0.4,40,0.0,0.0,0.0,0.2773327473170102,uniaxial
185,0.4,40,0.0,0.0,0.0,0.3377121081198773,uniaxial
186,0.4,40,0.0,0.0,0.0,0.39548142984872126,uniaxial
187,0.4,40,0.0,0.0,0.0,0.4509525002200232,uniaxial
188,0.4,40,0.0,0.0,0.0,0.504379571363837,uniaxial
189,0.4,40,0.0,0.0,0.0,0.5559732104309982,uniaxial
190,0.4,40,0.0,0.0,0.0,0.6059101370939324,uniaxial
191,0.4,40,0.0,0.0,0.0,0.6543403837370221,uniaxial
192,0.4,40,0.0,0.0,0.0,0.7013926184468013,uniaxial
193,0.4,40,0.0,0.0,0.0,0.7471781760734559,uniaxial
194,0.4,40,0.0,0.0,0.0,0.7917941611104422,uniaxial
195,0.4,40,0.0,0.0,0.0,0.8353258709644942,uniaxial
196,0.4,40,0.0,0.0,0.0,0.8778487131485551,uniaxial
197,0.4,40,0.0,0.0,0.0,0.9194297398747862,uniaxial
198,0.4,40,0.0,0.0,0.0,0.9601288894248496,uniaxial
199,0.4,40,0.0,0.0,0.0,1.0,uniaxial
200,0.5,50,0.0,0.0,0.0,-0.3675444679663241,uniaxial
201,0.5,50,0.0,0.0,0.0,-0.3513940678868148,uniaxial
202,0.5,50,0.0,0.0,0.0,-0.3356361611700802,uniaxial
203,0.5,50,0.0,0.0,0.0,-0.3202434512877118,uniaxial
204,0.5,50,0.0,0.0,0.0,-0.30519166622034877,uniaxial
205,0.5,50,0.0,0.0,0.0,-0.29045910909795414,uniaxial
206,0.5,50,0.0,0.0,0.0,-0.27602629119940914,uniaxial
207,0.5,50,0.0,0.0,0.0,-0.2618756295806942,uniaxial
208,0.5,50,0.0,0.0,0.0,-0.24799119594295282,uniaxial
209,0.5,50,0.0,0.0,0.0,-0.23435850651122347,uniaxial
210,0.5,50,0.0,0.0,0.0,-0.22096434502383777,uniaxial
211,0.5,50,0.0,0.0,0.0,-0.20779661267036253,uniaxial
212,0.5,50,0.0,0.0,0.0,-0.19484420012710246,uniaxial
213,0.5,50,0.0,0.0,0.0,-0.18209687783859185,uniaxial
214,0.5,50,0.0,0.0,0.0,-0.16954520146260033,uniaxial
215,0.5,50,0.0,0.0,0.0,-0.15718042999334259,uniaxial
216,0.5,50,0.0,0.0,0.0,-0.14499445454510607,uniaxial
217,0.5,50,0.0,0.0,0.0,-0.13297973614739866,uniaxial
218,0.5,50,0.0,0.0,0.0,-0.12112925119591778,uniaxial
219,0.5,50,0.0,0.0,0.0,-0.10943644343827874,uniaxial
220,0.5,50,0.0,0.0,0.0,-0.09789518156243293,uniaxial
221,0.5,50,0.0,0.0,0.0,-0.08649972160886032,uniaxial
222,0.5,50,0.0,0.0,0.0,-0.07524467355245612,uniaxial
223,0.5,50,0.0,0.0,0.0,-0.06412497150232865,uniaxial
224,0.5,50,0.0,0.0,0.0,-0.05313584705200136,uniaxial
225,0.5,50,0.0,0.0,0.0,-0.042272805382271295,uniaxial
226,0.5,50,0.0,0.0,0.0,-0.031531603776995376,uniaxial
227,0.5,50,0.0,0.0,0.0,-0.02090823226054417,uniaxial
228,0.5,50,0.0,0.0,0.0,-0.010398896106321942,uniaxial
229,0.5,50,0.0,0.0,0.0,0.0,uniaxial
230,0.5,50,0.0,0.0,0.0,0.0,uniaxial
231,0.5,50,0.0,0.0,0.0,0.07605517369794068,uniaxial
232,0.5,50,0.0,0.0,0.0,0.14707866935280878,uniaxial
233,0.5,50,0.0,0.0,0.0,0.21395395733376787,uniaxial
234,0.5,50,0.0,0.0,0.0,0.2773327473170102,uniaxial
235,0.5,50,0.0,0.0,0.0,0.3377121081198773,uniaxial
236,0.5,50,0.0,0.0,0.0,0.39548142984872126,uniaxial
237,0.5,50,0.0,0.0,0.0,0.4509525002200232,uniaxial
238,0.5,50,0.0,0.0,0.0,0.504379571363837,uniaxial
239,0.5,50,0.0,0.0,0.0,0.5559732104309982,uniaxial
240,0.5,50,0.0,0.0,0.0,0.6059101370939324,uniaxial
241,0.5,50,0.0,0.0,0.0,0.6543403837370221,uniaxial
242,0.5,50,0.0,0.0,0.0,0.7013926184468013,uniaxial
243,0.5,50,0.0,0.0,0.0,0.7471781760734559,uniaxial
244,0.5,50,0.0,0.0,0.0,0.7917941611104422,uniaxial
245,0.5,50,0.0,0.0,0.0,0.8353258709644942,uniaxial
246,0.5,50,0.0,0.0,0.0,0.8778487131485551,uniaxial
247,0.5,50,0.0,0.0,0.0,0.9194297398747862,uniaxial
248,0.5,50,0.0,0.0,0.0,0.9601288894248496,uniaxial
249,0.5,50,0.0,0.0,0.0,1.0,uniaxial
250,0.2,20,1.0,1.0,1.0,1.0,uniaxial
